experiment,category,split,n,dice,f1,sens,spec,acc,prec,auc,runtime_s,preproc,enhance,threshold,cleanup
R2_hys_0.95_0.5,round2,dev,20,0.5049,0.5049,0.8890,0.7396,0.7573,0.3657,0.8955,2.125,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,hys(0.95/0.5),line9,a6,close2,area40,dil0
R2_lineLen5,round2,dev,20,0.7135,0.7135,0.7031,0.9617,0.9280,0.7318,0.8955,2.125,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,perc15%,line5,a6,close2,area40,dil0
R2_lineLen7,round2,dev,20,0.7186,0.7186,0.6652,0.9736,0.9335,0.7896,0.8955,2.125,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,perc15%,line7,a6,close2,area40,dil0
R2_lineLen9,round2,dev,20,0.7208,0.7208,0.6536,0.9774,0.9354,0.8115,0.8955,2.125,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,perc15%,line9,a6,close2,area40,dil0
R2_lineLen11,round2,dev,20,0.7105,0.7105,0.6198,0.9826,0.9356,0.8404,0.8955,2.125,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,perc15%,line11,a6,close2,area40,dil0
R2_minArea20,round2,dev,20,0.7229,0.7229,0.6606,0.9764,0.9354,0.8061,0.8955,2.125,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,perc15%,line9,a6,close2,area20,dil0
R2_minArea40,round2,dev,20,0.7208,0.7208,0.6536,0.9774,0.9354,0.8115,0.8955,2.125,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,perc15%,line9,a6,close2,area40,dil0
R2_minArea60,round2,dev,20,0.7188,0.7188,0.6485,0.9780,0.9353,0.8141,0.8955,2.125,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,perc15%,line9,a6,close2,area60,dil0
R2_dilate1,round2,dev,20,0.7152,0.7152,0.7799,0.9421,0.9209,0.6664,0.8955,2.125,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,perc15%,line9,a6,close2,area40,dil1
R2_angles15,round2,dev,20,0.7276,0.7276,0.6779,0.9737,0.9353,0.7931,0.8955,2.125,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,perc15%,line9,a12,close2,area40,dil0
R2_close1,round2,dev,20,0.7197,0.7197,0.6363,0.9816,0.9369,0.8363,0.8955,2.125,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,perc15%,line9,a6,close1,area40,dil0
TEST_LOCKED_baseline,baseline,test,20,0.7428,0.7428,0.6829,0.9777,0.9390,0.8249,0.9029,2.126,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,otsu*1.00,line9,a6,close2,area40,dil0
TEST_LOCKED_champion,champion,test,20,0.7535,0.7535,0.6947,0.9784,0.9413,0.8272,0.9029,2.125,clahe,morph[2;4;6;8]*gate[3;4;5]@0.4,perc15%,line9,a12,close2,area40,dil0
